First,Last,congressman,affiliation
Danny,Davis,Danny Davis (Representative from Illinois),d
Peter,DeFazio,Peter DeFazio (Representative from Oregon),d
Diana,DeGette,Diana DeGette (Representative from Colorado),d
John,Delaney,John Delaney (Representative from Maryland),d
Rosa,DeLauro,Rosa DeLauro (Representative from Connecticut),d
Suzan,DelBene,Suzan DelBene (Representative from Washington),d
Jeffrey,Denham,Jeffrey Denham (Representative from California),r
Charlie,Dent,Charlie Dent (Representative from Pennsylvania),r
Ron,DeSantis,Ron DeSantis (Representative from Florida),r
Scott,DesJarlais,Scott DesJarlais (Representative from Tennessee),r
Ted,Deutch,Ted Deutch (Representative from Florida),d
Mario,Diaz-Balart,Mario Diaz-Balart (Representative from Florida),r
John,Dingell,John Dingell (Representative from Michigan),d
Lloyd,Doggett,Lloyd Doggett (Representative from Texas),d
Joe,Donnelly,Joe Donnelly (Senator from Indiana),d
Mike,Doyle,Mike Doyle (Representative from Pennsylvania),d
Tammy,Duckworth,Tammy Duckworth (Representative from Illinois),d
Sean,Duffy,Sean Duffy (Representative from Wisconsin),r
Jeffrey,Duncan,Jeffrey Duncan (Representative from South Carolina),r
John,Duncan,John Duncan Jr. (Representative from Tennessee),r
Richard,Durbin,Richard Durbin (Senator from Illinois),d
C.A.,Dutch,C.A. Dutch Ruppersberger (Representative from Maryland),d
Donna,Edwards,Donna Edwards (Representative from Maryland),d
Keith,Ellison,Keith Ellison (Representative from Minnesota),d
Renee,Ellmers,Renee Ellmers (Representative from North Carolina),r
Eliot,Engel,Eliot Engel (Representative from New York),d
Bill,Enyart,Bill Enyart (Representative from Illinois),d
Michael,Enzi,Michael Enzi (Senator from Wyoming),r
Anna,Eshoo,Anna Eshoo (Representative from California),d
Elizabeth,Esty,Elizabeth Esty (Representative from Connecticut),d
Blake,Farenthold,Blake Farenthold (Representative from Texas),r
Sam,Farr,Sam Farr (Representative from California),d
Chaka,Fattah,Chaka Fattah (Representative from Pennsylvania),d
Dianne,Feinstein,Dianne Feinstein (Senator from California),d
Stephen,Fincher,Stephen Fincher (Representative from Tennessee),r
Deb,Fischer,Deb Fischer (Senator from Nebraska),r
Michael,Fitzpatrick,Michael Fitzpatrick (Representative from Pennsylvania),r
Jeff,Flake,Jeff Flake (Senator from Arizona),r
Chuck,Fleischmann,Chuck Fleischmann (Representative from Tennessee),r
John,Fleming,John Fleming (Representative from Louisiana),r
Bill,Flores,Bill Flores (Representative from Texas),r
J.,Forbes,J. Forbes (Representative from Virginia),r
Jeff,Fortenberry,Jeff Fortenberry (Representative from Nebraska),r
Bill,Foster,Bill Foster (Representative from Illinois),d
Virginia,Foxx,Virginia Foxx (Representative from North Carolina),r
Lois,Frankel,Lois Frankel (Representative from Florida),d
Al,Franken,Al Franken (Senator from Minnesota),d
Trent,Franks,Trent Franks (Representative from Arizona),r
Rodney,Frelinghuysen,Rodney Frelinghuysen (Representative from New Jersey),r
Marcia,Fudge,Marcia Fudge (Representative from Ohio),d
Tulsi,Gabbard,Tulsi Gabbard (Representative from Hawaii),d
Pete,Gallego,Pete Gallego (Representative from Texas),d
John,Garamendi,John Garamendi (Representative from California),d
Joe,Garcia,Joe Garcia (Representative from Florida),d
